date,rank,title,gross,theaters,total_gross_to_date,days_in_release,is_opening_day
2026-05-13,1,Michael,3325674.0,3550.0,253520614.0,20,0
2026-05-13,2,The Devil Wears Prada 2,3251137.0,4200.0,154839726.0,13,0
2026-05-13,3,Mortal Kombat II,2002158.0,3503.0,46961410.0,6,0
2026-05-13,4,The Sheep Detectives,1178652.0,3457.0,19226327.0,6,0
2026-05-13,5,Top Gun,1163519.0,2295.0,181634008.0,14608,0
2026-05-13,6,Project Hail Mary,651374.0,2417.0,330416151.0,55,0
2026-05-13,7,The Super Mario Galaxy Movie,472655.0,3075.0,413744165.0,43,0
2026-05-13,8,Hokum,441511.0,1900.0,13889985.0,13,0
2026-05-13,9,Billie Eilish: Hit Me Hard and Soft—The Tour,334330.0,2613.0,8237364.0,6,0
2026-05-13,-,Deep Water,78134.0,1301.0,4034174.0,13,0
2026-05-13,-,Animal Farm,74638.0,2140.0,5286212.0,13,0
2026-05-13,-,The Drama,52256.0,292.0,47890800.0,41,0
2026-05-13,-,Lee Cronin’s The Mummy,44097.0,612.0,28886304.0,27,0
2026-05-13,-,The Story of Everything,31656.0,260.0,1907009.0,14,0
2026-05-13,-,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,21055.0,837.0,1411437.0,13,0
2026-05-13,-,Hoppers,14420.0,335.0,165739278.0,69,0
2026-05-13,-,The Christophers,8172.0,70.0,1796522.0,34,0
2026-05-13,-,Mother Mary,8111.0,55.0,2551237.0,27,0
2026-05-13,-,Erupcja,5872.0,50.0,212224.0,27,0
2026-05-13,-,A Great Awakening,5413.0,88.0,8087621.0,41,0
2026-05-13,-,Mile End Kicks,4756.0,11.0,651275.0,27,0
2026-05-13,-,"You, Me & Tuscany",4595.0,87.0,18718900.0,34,0
2026-05-13,-,I Swear,4422.0,23.0,1007705.0,20,0
2026-05-13,-,Silent Friend,2306.0,2.0,79011.0,6,0
2026-05-13,-,Kiki’s Delivery Service,552.0,2.0,2670276.0,12929,0
