title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url
Fate/stay night [Heaven's Feel] III. spring song,2020,Nov 18,200000.0,304.0,-,,https://www.boxofficemojo.com/release/rl1690141185/?ref_=bo_yld_table_184
Ashfall,2020,Dec 19,372562.0,18.0,-,,https://www.boxofficemojo.com/release/rl3031073281/?ref_=bo_yld_table_185
National Theater Live: Cyrano de Bergerac,2020,Feb 20,198352.0,472.0,-,,https://www.boxofficemojo.com/release/rl2091483649/?ref_=bo_yld_table_186
Zombieland: Double Tap,2020,Oct 18,73123082.0,3468.0,-,,https://www.boxofficemojo.com/release/rl201819649/?ref_=bo_yld_table_187
Cunningham,2020,Dec 13,265102.0,23.0,-,,https://www.boxofficemojo.com/release/rl369853953/?ref_=bo_yld_table_188
The Doors: Break On Thru - A Celebration Of Ray Manzarek,2020,Feb 12,190160.0,330.0,-,,https://www.boxofficemojo.com/release/rl4238639617/?ref_=bo_yld_table_189
The Outpost,2020,Jul 3,186635.0,81.0,-,,https://www.boxofficemojo.com/release/rl1145144065/?ref_=bo_yld_table_190
The Wolf of Snow Hollow,2020,Oct 9,185026.0,112.0,-,,https://www.boxofficemojo.com/release/rl1247052545/?ref_=bo_yld_table_191
Come Away,2020,Nov 13,184477.0,475.0,-,,https://www.boxofficemojo.com/release/rl509379329/?ref_=bo_yld_table_192
The Good Liar,2020,Nov 15,17156058.0,2454.0,-,,https://www.boxofficemojo.com/release/rl201754113/?ref_=bo_yld_table_193
And Then We Danced,2020,Feb 7,177262.0,23.0,-,,https://www.boxofficemojo.com/release/rl632128001/?ref_=bo_yld_table_194
Beanpole,2020,Jan 29,196258.0,35.0,-,,https://www.boxofficemojo.com/release/rl632652289/?ref_=bo_yld_table_195
Follow Me,2020,Sep 18,167962.0,50.0,-,,https://www.boxofficemojo.com/release/rl1632731905/?ref_=bo_yld_table_196
Extra Ordinary,2020,Mar 6,164346.0,80.0,-,,https://www.boxofficemojo.com/release/rl2562359809/?ref_=bo_yld_table_197
Palm Springs,2020,Jul 10,164000.0,66.0,-,,https://www.boxofficemojo.com/release/rl3175187201/?ref_=bo_yld_table_198
A Call to Spy,2020,Oct 2,159014.0,79.0,-,,https://www.boxofficemojo.com/release/rl3796140801/?ref_=bo_yld_table_199
Love Story,2020,Feb 9,153504.0,650.0,-,,https://www.boxofficemojo.com/release/rl934707713/?ref_=bo_yld_table_200
Spider-Man: No Way Home,2021,Dec 17,804793477.0,4336.0,-,,https://www.boxofficemojo.com/release/rl2869659137/?ref_=bo_yld_table_1
Shang-Chi and the Legend of the Ten Rings,2021,Sep 3,224543292.0,4300.0,-,,https://www.boxofficemojo.com/release/rl3490022913/?ref_=bo_yld_table_2
